,title,content,answer,maxPoints,type,relevantLines,examId,questions,gradingKey
11,Aufgabe 9a,In dieser Geschichte kann man das Wort 'Menschlichkeit' auf zwei verschiedene Arten verstehen. Welche Bedeutungen hat der Begriff 'Menschlichkeit' in diesem Text? Antworte in Stichworten oder Sätzen.,1 Punkt für ein Begriff wie: Güte / Hilfsbereitschaft / Humanität / Mitgefühl / Nächstenliebe / Respekt / Toleranz. (ein richtiges Stichwort reicht). Gleichwertige Lösungen sind zu tolerieren. Kein Abzug für orthografische oder grammatische Fehler.,1,text,[],6,,
12,Aufgabe 9b,Welche Bedeutungen hat der Begriff 'Menschlichkeit' in diesem Text? Antworte in Stichworten oder Sätzen.,1 Punkt für Antworten wie (ein richtiges Stichwort reicht): Menschsein; zur Gattung / Spezies Mensch gehören; den Körper / Verstand eines Menschen haben; Gleichwertige Lösungen sind zu tolerieren. Kein Abzug für orthografische oder grammatische Fehler.,1,text,[],6,,
13,Aufgabe 10,Ersetze in jedem Satz die rechts fehlenden Wörter durch ein einziges passendes Wort gleicher Bedeutung. Der Satz muss grammatisch korrekt bleiben. (4 Punkte),,4,directWordMatch,,6,"[{'leftCol': 'Er zeigte ihm sein entblösstes Bein. (Z. 20)', 'rightCol': 'Er zeigte ihm sein __________  Bein.', 'answer': ['bares', 'blankes', 'blosses', 'enthülltes', 'entkleidetes', 'nacktes', 'unbedecktes', 'unbekleidetes'], 'isExample': 0}, {'leftCol': 'Du beanspruchst Ermässigung. (Z. 21)', 'rightCol': 'Du beanspruchst __________ .', 'answer': ['Verbilligung', 'Vergünstigung', 'Preisabschlag', 'Preisnachlass', 'Rabatt'], 'isExample': 0}, {'leftCol': 'Der Mann wurde blass. (Z. 22)', 'rightCol': 'Der Mann wurde __________ .', 'answer': ['kreidebleich', 'totenbleich', 'bleich', 'fahl', 'weiss', 'kreideweiss', 'farblos'], 'isExample': 0}, {'leftCol': 'Es fiel ihm kein Argument', 'rightCol': 'Es fiel ihm kein/e __________ ein.', 'answer': ['Begründung', 'Beweis', 'Beweismittel', 'Erklärung', 'Grund', 'Nachweis', 'Einwand', 'Entgegnung'], 'isExample': 0}]","[{'min': 4, 'max': 4, 'points': 4}, {'min': 3, 'max': 3, 'points': 3}, {'min': 2, 'max': 2, 'points': 2}, {'min': 1, 'max': 1, 'points': 1}]"
14,Aufgabe 11a,"Lies jeweils den vorgegebenen Satz. Welche der vier nachfolgenden Sätze bedeuten das Gleiche? Kreuze die passende Antwort an. Es können mehrere Lösungen richtig sein. Der Mann erklärte ihm, weshalb ihm ein Kinderfahrschein zustehe. (Z. 17/18)",,2,multiplechoice,,6,"[{'text': 'Der Mann erklärte ihm, wieso ihm ein Kinderfahrschein zukomme.', 'options': ['richtig', 'falsch'], 'answer': 'richtig'}, {'text': 'Der Mann erklärte ihm, weshalb er Anrecht auf einen Kinderfahrschein habe.', 'options': ['richtig', 'falsch'], 'answer': 'richtig'}, {'text': 'Der Mann erklärte ihm, warum er einen Kinderfahrschein habe.', 'options': ['richtig', 'falsch'], 'answer': 'falsch'}, {'text': 'Der Mann erklärte ihm, weswegen ihm ein Kinderfahrschein gehöre.', 'options': ['richtig', 'falsch'], 'answer': 'falsch'}]","[{'min': 4, 'max': 4, 'points': 2}, {'min': 2, 'max': 3, 'points': 1}, {'min': 0, 'max': 1, 'points': 0}]"
15,Aufgabe 11b,Lies jeweils den vorgegebenen Satz. Welche der vier nachfolgenden Sätze bedeuten das Gleiche? Kreuze die passende Antwort an. Es können mehrere Lösungen richtig sein. Die Zugbegleiterin unterbreitete dem Obersten einen Vorschlag. (Z. 27),,2,multiplechoice,,6,"[{'text': 'Die Zugbegleiterin legte dem Obersten einen Vorschlag aus.', 'options': ['richtig', 'falsch'], 'answer': 'falsch'}, {'text': 'Die Zugbegleiterin kam dem Obersten mit einem Vorschlag zuvor.', 'options': ['richtig', 'falsch'], 'answer': 'falsch'}, {'text': 'Die Zugbegleiterin machte dem Obersten einen Vorschlag.', 'options': ['richtig', 'falsch'], 'answer': 'richtig'}, {'text': 'Die Zugbegleiterin kündigte dem Obersten einen Vorschlag an.', 'options': ['richtig', 'falsch'], 'answer': 'falsch'}]","[{'min': 4, 'max': 4, 'points': 2}, {'min': 2, 'max': 3, 'points': 1}, {'min': 0, 'max': 1, 'points': 0}]"
16,Aufgabe 12,"Bilde aus den vorgegebenen Wörtern je ein Verb, das der gleichen Wortfamilie angehört. (5 Punkte)",,5,directWordMatch,,6,"[{'leftCol': 'scharf', 'rightCol': ' __________ ', 'answer': ['anschärfen', 'einschärfen', 'entschärfen', 'verschärfen', 'scharfmachen', 'scharfschleifen'], 'isExample': 0}, {'leftCol': 'nicht', 'rightCol': ' __________.', 'answer': ['vernichten'], 'isExample': 0}, {'leftCol': 'der Fuss', 'rightCol': '__________ ', 'answer': ['füsseln', 'fussen'], 'isExample': 0}, {'leftCol': 'das Ganze', 'rightCol': '__________ ', 'answer': ['ergänzen'], 'isExample': 0}, {'leftCol': 'das Auge', 'rightCol': '__________ ', 'answer': ['beäugen', 'äugen', 'beäugeln', 'äugeln', 'liebäugeln', 'beaugapfeln', 'beaugscheinigen'], 'isExample': 0}]","[{'min': 5, 'max': 5, 'points': 5}, {'min': 4, 'max': 4, 'points': 4}, {'min': 3, 'max': 3, 'points': 3}, {'min': 2, 'max': 2, 'points': 2}, {'min': 1, 'max': 1, 'points': 1}]"
17,Aufgabe 13,"Ergänze die fehlenden Formen: bei den Adjektiven die fehlenden Steigerungsformen, bei den Verben die 3. Person Singular Präteritum und die 3. Person Singular Perfekt. Beispiel: 'denken', Lösung: er dachte und er hat gedacht, Beispiel: 'reif', Lösung: reifer und am reifsten",,5,directWordMatchThreeCol,,6,"[{'leftCol': 'höhnisch', 'middleCol': ' __________ ', 'rightCol': 'am __________ ', 'answerLeftCol': None, 'answerMiddleCol': ['höhnischer'], 'answerRightCol': ['höhnischsten'], 'isExample': 0}, {'leftCol': 'erheben', 'middleCol': 'er/sie/es __________ ', 'rightCol': 'er/sie/es __________ ', 'answerLeftCol': None, 'answerMiddleCol': ['erhob'], 'answerRightCol': ['hat erhoben'], 'isExample': 0}, {'leftCol': 'hoch', 'middleCol': ' __________ ', 'rightCol': 'am __________ ', 'answerLeftCol': None, 'answerMiddleCol': ['höher'], 'answerRightCol': ['höchsten'], 'isExample': 0}, {'leftCol': 'rufen', 'middleCol': 'er/sie/es __________ ', 'rightCol': 'er/sie/es __________ ', 'answerLeftCol': None, 'answerMiddleCol': ['rief'], 'answerRightCol': ['hat gerufen'], 'isExample': 0}, {'leftCol': 'rau', 'middleCol': '__________ ', 'rightCol': 'am __________ ', 'answerLeftCol': None, 'answerMiddleCol': ['rauer', 'rauher'], 'answerRightCol': ['rauesten', 'rausten', 'rauhesten', 'rauhsten'], 'isExample': 0}]","[{'min': 10, 'max': 10, 'points': 5}, {'min': 8, 'max': 9, 'points': 4}, {'min': 6, 'max': 7, 'points': 3}, {'min': 4, 'max': 5, 'points': 2}, {'min': 2, 'max': 3, 'points': 1}, {'min': 0, 'max': 1, 'points': 0}]"
18,Aufgabe 14,Setze jeweils ein passendes Wort in die Lücke. Es muss stets ein grammatisch sinnvoller Satz entstehen. (4 Punkte),,4,directWordMatch,,6,"[{'leftCol': 'a)', 'rightCol': 'Kaum hatte sie den Schirm geöffnet, __________ das Gewitter auch schon losbrach.', 'answer': ['als'], 'isExample': 0}, {'leftCol': 'b)', 'rightCol': ' __________ ihres Hungers hatte sie sich beim Bäcker kein Brötchen gekauft.', 'answer': ['Trotz', 'Ungeachtet'], 'isExample': 0}, {'leftCol': 'c)', 'rightCol': 'Jemand behauptete, ich sei ein gemeiner Kerl, __________ ich alles für ihn getan hatte.', 'answer': ['obgleich', 'obschon', 'obwohl', 'wenngleich', 'trotzdem'], 'isExample': 0}, {'leftCol': 'd)', 'rightCol': 'Der Hund tat ihr leid, __________ letztlich konnte er ja nichts dafür, dass er nicht besser erzogen worden war.', 'answer': ['denn'], 'isExample': 0}]","[{'min': 4, 'max': 4, 'points': 4}, {'min': 3, 'max': 3, 'points': 3}, {'min': 2, 'max': 2, 'points': 2}, {'min': 1, 'max': 1, 'points': 1}]"
19,Aufgabe 15a,"Verstärke die folgenden Adjektive auf dieselbe Weise, indem du ein Nomen davorsetzt. Verstärkungen mit arsch-, giga-, mega-, sack-, sau- und scheiss- dürfen nicht verwendet werden. Jedes verstärkende Nomen darf nur einmal vorkommen. (5 Punkte)",,4,directWordMatch,,6,"[{'leftCol': 'schwer', 'rightCol': '__________', 'answer': ['bleischwer', 'tonnenschwer', 'zentnerschwer'], 'isExample': 0}, {'leftCol': 'unglücklich', 'rightCol': '__________', 'answer': ['kreuzunglücklich', 'todunglücklich', 'totunglücklich', 'sterbensunglücklich'], 'isExample': 0}, {'leftCol': 'eben', 'rightCol': '__________', 'answer': ['topfeben'], 'isExample': 0}, {'leftCol': 'gross', 'rightCol': '__________', 'answer': ['mordsgross', 'riesengross'], 'isExample': 0}, {'leftCol': 'rot', 'rightCol': '__________', 'answer': ['blutrot', 'brandrot', 'feuerrot', 'knallrot', 'krebsrot'], 'isExample': 0}, {'leftCol': 'hart', 'rightCol': '__________', 'answer': ['beinhart', 'betonhart', 'eisenhart', 'hammerhart', 'knallhart', 'knochenhart', 'knüppelhart', 'pickelhart', 'stahlhart', 'steinhart'], 'isExample': 0}, {'leftCol': 'stark', 'rightCol': '__________', 'answer': ['bärenstark', 'baumstark', 'bullenstark', 'löwenstark'], 'isExample': 0}, {'leftCol': 'süss', 'rightCol': '__________', 'answer': ['honigsüss', 'zuckersüss'], 'isExample': 0}, {'leftCol': 'schwarz', 'rightCol': '__________', 'answer': ['kohlschwarz', 'rabenschwarz', 'kohlrabenschwarz', 'nachtschwarz', 'pechschwarz', 'rabenschwarz'], 'isExample': 0}]","[{'min': 9, 'max': 9, 'points': 4}, {'min': 7, 'max': 8, 'points': 3}, {'min': 5, 'max': 6, 'points': 2}, {'min': 3, 'max': 4, 'points': 1}, {'min': 2, 'max': 1, 'points': 0}]"
20,Aufgabe 15b,In den letzten fünf Zeilen des Textes «Ein Beweis der Menschlichkeit» wird auch ein Adjektiv verstärkt. Welches?,Grossschreibung zulassen. 1 Punkt für: (seelen)ruhig,1,text,[],6,,
21,Aufgabe 1,"Kreuze an, ob die folgenden Aussagen richtig oder falsch sind oder ob keine Antwort möglich ist. ",,6,multiplechoice,,16,"[{'text': 'Titus schläft regelmässig in den Brombeeren', 'options': ['richtig', 'falsch', 'keine Antwort möglich'], 'answer': 'keine Antwort möglich'}, {'text': 'Der Mann führt sein Vorhaben mit voller Konzentration aus. ', 'options': ['richtig', 'falsch', 'keine Antwort möglich'], 'answer': 'richtig'}, {'text': 'Titus liegt vor der Scheune zwischen den Brombeeren. ', 'options': ['richtig', 'falsch', 'keine Antwort möglich'], 'answer': 'falsch'}, {'text': 'Der Mann macht einen düsteren Eindruck. ', 'options': ['richtig', 'falsch', 'keine Antwort möglich'], 'answer': 'falsch'}, {'text': 'Der Mann zählt mehrere Gefahren auf, die dem Hahn drohen könnten.', 'options': ['richtig', 'falsch', 'keine Antwort möglich'], 'answer': 'richtig'}, {'text': 'Die Familie Flock hat einen Hahn und ein paar wenige Hühner. ', 'options': ['richtig', 'falsch', 'keine Antwort möglich'], 'answer': 'keine Antwort möglich'}]","[{'min': 6, 'max': 6, 'points': 6}, {'min': 5, 'max': 5, 'points': 5}, {'min': 4, 'max': 4, 'points': 4}, {'min': 3, 'max': 3, 'points': 3}, {'min': 2, 'max': 2, 'points': 2}, {'min': 1, 'max': 1, 'points': 1}, {'min': 0, 'max': 0, 'points': 0}]"
22,Aufgabe 2.1,"Nenne genau die drei Wörter, die den Mann am besten charakterisieren. (3 Punkte) aufrichtig / hastig / vertrauenswürdig / verantwortungslos / hinterlistig / redegewandt / unbedacht / redlich / rechtschaffen / seriös / unverschämt / unbescholten ","1 Punkt je für die Adjektive: hinterlistig, redegewandt und unverschämt",3,text,[],16,,
23,Aufgabe 2.2,"Nenne genau die drei Wörter, die den Jungen am besten charakterisieren. (3 Punkte) folgsam / pflichtbewusst / beflissen / sorgfältig / faul / arbeitsscheu / ängstlich / kleinmütig / verschämt / beklommen / mutig / emsig ","1 Punkt je für die Adjektive: faul, arbeitsscheu und mutig",3,text,[],16,,
24,Aufgabe 2.3,"Kreuze genau die zwei Wörter an, die den Hahn am besten charakterisieren. (2 Punkte) behäbig / träge / unvorteilhaft / garstig / prächtig / linkisch / entstellt / unbeholfen / grisgrämig / plump / feig / kämpferisch",1 Punkt je für die Adjektive: prächtig und kämpferisch,2,text,[],16,,
25,Aufgabe 3.1,"Schreibe das Wort aus dem Text heraus, das folgende Aussage belegt: Titus hat sich «in die Büsche geschlagen».",1 Punkt für das korrekte Wort: 'Verstecke(e)' [Zeile 8].,1,text,[],16,,
26,Aufgabe 3.2,"Schreibe das Wort aus dem Text heraus, das folgende Aussage belegt: Titus ist überrascht, als er plötzlich eine Stimme hört.","1 Punkt für eines der beiden korrekten Wörter: 'erschrocken' oder 'unvermutet' [Zeile 9]. Nur 1 Punkt, auch wenn beide Wörter stehen.",1,text,[],16,,
27,Aufgabe 3.3,"Schreibe das Wort aus dem Text heraus, das folgende Aussage belegt: Titus freut es, als sich der Hahn aus dem drohenden Würgegriff befreit.",1 Punkt für das korrekte Wort: '(Schauer von) Wonne' [Zeile 53]. Nur 'Schauer' ohne 'Wonne' ergibt keinen Punkt.,1,text,[],16,,
28,Aufgabe 3.4,"Notiere drei Textstellen (maximal 2 Zeilen), die von der Absicht des Mannes zeugen, den Hahn zu töten. (3 Punkte)","1 Punkt für jede der folgenden Passagen, unabhängig von der Reihenfolge: 'Lohnt es sich (...) zu leben?', 'Hals des Hahnes', 'Kneifzange', 'Königsmord', 'Attentäter', '... (prüfte kurz), ob die Luft rein wäre.' Höchstens 3 Punkte. Kein Punkt, wenn die zitierte Textstelle länger als 2 Zeilen ist.",3,text,[],16,,
29,Aufgabe 4.1,"Vervollständige den Satz grammatisch und inhaltlich korrekt: Gemäss den ersten Worten des Mannes nützt dem Hahn all seine Schönheit nichts, denn ____________","1 Punkt für: es warten viele Gefahren (Iltis, Fuchs, Pferd) auf ihn. Auch richtig: ... er will ihn töten.",1,text,[],16,,
30,Aufgabe 4.2,"Vervollständige den Satz grammatisch und inhaltlich korrekt: Der Mann legt ein grosses Taschentuch auf die Erde, um _____________.",1 Punkt für: den Hahn (nachher) darin einzupacken / zu verhüllen / den Hahn zu fangen.,1,text,[],16,,
31,Aufgabe 4.3,"Vervollständige den Satz grammatisch und inhaltlich korrekt: Der Mann reibt sich das Auge, weil der Hahn ihm _____________.",1 Punkt für: ihm (bei steilem Aufstieg / beim Überfliegen) ins Gesicht geklatscht hat. Kein Punkt: … der Hahn ihm entwischt ist.,1,text,[],16,,
32,Aufgabe 4.4,"Vervollständige den Satz grammatisch und inhaltlich korrekt: Der Mann ist bereit, den Hahn zurückzugeben, obwohl Titus ______.",1 Punkt für:  (erst) 13-jährig ist / noch ein (kleiner) Junge ist / viel schwächer ist,1,text,[],16,,
33,Aufgabe 5.1,Wovor fürchtet sich Titus? [Zeilen 1-14] (2 Sachen),"1 Punkt, wenn beide Antworten genannt sind: vor der Mutter und davor, arbeiten zu müssen",1,text,[],16,,
34,Aufgabe 5.2,Wie lässt sich die 1. Rede des Mannes mit dem Hahn charakterisieren? [Zeilen 24-31] Wähle 2 aus: Glücksversprechen / Schwarzmalerei / Einschmeichelung / Berichterstattung,"1 Punkt, wenn beide Antworten genannt sind: Schwarzmalerei und Einschmeichelung",1,text,[],16,,
35,Aufgabe 5.3,Was ist gemeint mit «Warnung vor einer neuen Lektion»? [Zeilen 56-60],1 Punkt für die Antwort: angegriffen zu werden,1,text,[],16,,
36,Aufgabe 5.4,Wie lässt sich die 2. Rede des Mannes mit dem Hahn charakterisieren? [Zeilen 64-74] Wähle 2 der folgenden 4 Begriffe aus: Aufopferung / Bewunderung / Entrüstung / Verachtung,"1 Punkt für: Entrüstung, Verachtung",1,text,[],16,,
37,Aufgabe 5.5,"Was ist gemeint mit der Formulierung «Gedanken wie kleine Vögel»? [Zeilen 90-92] Wähle die richtige Erklärung aus:  Er fühlt sich ertappt. / Er denkt an alle Vögel, die er schon gefangen hat. / Er denkt kurz an das gebratene Hähnchen. / Schon als Kind hat er mit kleinen Vögeln gespielt.",1 Punkt für: Er fühlt sich ertappt.,1,text,[],16,,
38,Aufgabe 6.1,"Ergänze die Sätze mit dem entsprechenden (Relativ-)Pronomen. Füge, wo nötig, eine Präposition hinzu. Der Hahn, _________________ alle neidisch sind, lebt wie ein König",1 Punkt für die richtige Antwort: auf den / auf welchen,1,text,[],16,,
39,Aufgabe 6.2,"Ergänze die Sätze mit dem entsprechenden (Relativ-)Pronomen. Füge, wo nötig, eine Präposition hinzu. In der Nacht kommt der Fuchs, _________________ sich alle fürchten.",1 Punkt für die richtige Antwort: vor dem / vor welchem,1,text,[],16,,
40,Aufgabe 6.3,"Ergänze die Sätze mit dem entsprechenden (Relativ-)Pronomen. Füge, wo nötig, eine Präposition hinzu. Die Iltisse, _________________ Aussehen Furcht einflößt, leben in den Wäldern.",1 Punkt für die richtige Antwort: deren,1,text,[],16,,
41,Aufgabe 6.4,"Ergänze die Sätze mit dem entsprechenden (Relativ-)Pronomen. Füge, wo nötig, eine Präposition hinzu. Der Mann, _________________ Worte der Hahn hört, geht behutsam vor.",1 Punkt für die richtige Antwort: dessen,1,text,[],16,,
42,Aufgabe 6.5,"Ergänze die Sätze mit dem entsprechenden (Relativ-)Pronomen. Füge, wo nötig, eine Präposition hinzu. Für den Hahn bedeuten die Reden, _________________ er lauscht, nichts.",1 Punkt für die richtige Antwort: denen / auf den / welchen,1,text,[],16,,
43,Aufgabe 7.1,"Setze das passende Wort aus der Liste ein: während; unterdessen; sodass; indem; dass; damit. Der Mann sprach leise, _________________ ihn sonst niemand höre. ",1 Punkt für die richtige Antwort: damit,1,text,[],16,,
44,Aufgabe 7.2,"Setze das passende Wort aus der Liste ein: während; unterdessen; sodass; indem; dass; damit. _________________ der Mann sprach, packte er das Tier unerwartet.",1 Punkt für die richtige Antwort: Während,1,text,[],16,,
45,Aufgabe 7.3,"Setze das passende Wort aus der Liste ein: während; unterdessen; sodass; indem; dass; damit. _________________ er den Hahn fangen würde, daran glaubte der Mann felsenfest.",1 Punkt für die richtige Antwort: Dass,1,text,[],16,,
46,Aufgabe 7.4,"Setze das passende Wort aus der Liste ein: während; unterdessen; sodass; indem; dass; damit. Der Hahn flog auf, _________________ trat der Junge aus den Brombeeren.",1 Punkt für die richtige Antwort: unterdessen,1,text,[],16,,
47,Aufgabe 7.5,"Setze das passende Wort aus der Liste ein: während; unterdessen; sodass; indem; dass; damit. Der Hahn blieb reglos stehen, _________________ ihn der Mann ergreifen konnte.",1 Punkt für die richtige Antwort: sodass,1,text,[],16,,
48,Aufgabe 7.6,"Setze das passende Wort aus der Liste ein: während; unterdessen; sodass; indem; dass; damit. Der Mann brachte seine Bewunderung zum Ausdruck, _________________ er eine lange Rede hielt.",1 Punkt für die richtige Antwort: indem / während,1,text,[],16,,
49,Aufgabe 8.1,Schreibe den Satz mit den richtigen Fallendungen auf: Plötzlich zitterten die Händ_____ des Herr_____.,1 Punkt für die richtige Antwort: Hände und Herrn oder Plötzlich zitterten die Hände des Herrn,1,text,[],16,,
50,Aufgabe 8.2,Schreibe den Satz mit den richtigen Fallendungen auf: Die Erwähnung des Fuchs_____ und des Bär_____ versetzte ihn in Angst.,1 Punkt für die richtige Antwort: Fuchses und Bären oder Die Erwähnung des Fuchses und des Bären versetzte ihn in Angst.,1,text,[],16,,
